"Model","input_price","output_price","cost_input","cost_output","total_cost"
"gpt-4o-mini",0.15,0.6,"45.96","1.89","47.85"
"gpt-4o",2.5,10,"765.98","31.44","797.42"
"o1-mini",1.1,4.4,"337.03","13.83","350.86"
"o1",15,60,"4595.86","188.64","4784.51"
"o3-mini",1.1,4.4,"337.03","13.83","350.86"
"claude-3.5-haiku",0.8,4,"245.11","12.58","257.69"
"claude-3.5-sonnet",3,15,"919.17","47.16","966.33"
"deepseek-v3",0.14,0.28,"42.89","0.88","43.78"
"deepseek-r1",0.55,2.19,"168.52","6.89","175.4"
"gemini-1.5-flash",0.15,0.6,"45.96","1.89","47.85"
"gemini-1.5-pro",1.25,5,"382.99","15.72","398.71"
"mistral-small",0.2,0.6,"61.28","1.89","63.16"
"mistral-large",2,6,"612.78","18.86","631.65"
