dataset,cumulative_final_alpha,cumulative_final_ci_lower,cumulative_final_ci_upper,cumulative_final_ci_width,cumulative_run_count_to_estimate_stability,cumulative_run_count_to_precision_stability,cumulative_max_abs_deviation_from_final,adjacent_mean_alpha,adjacent_sd_alpha,adjacent_iqr_alpha,adjacent_min_alpha,adjacent_max_alpha,adjacent_share_below_threshold,adjacent_mean_ci_width
tweets_rd,0.9522865251347225,0.9442969536046693,0.9608422600506336,0.016545306445964303,3,21,0.013201883639275214,0.9512904330618059,0.026658905943928512,0.04091327364720698,0.9000567686318974,1.0,0.0,0.11992133914920658
tweets_pop,0.9466950747128848,0.9375057316520858,0.9565488360613126,0.01904310440922674,12,28,0.05330492528711517,0.9504436720143252,0.02277802256792507,0.022516533302257558,0.9136664370542538,1.0,0.0,0.12458102401508747
news,0.9512597044294776,0.9478078684422896,0.9550359178531352,0.0072280494108456494,2,6,0.009874914200076357,0.9539210457607983,0.012537713053634629,0.022300019177717845,0.9338632705742526,0.9732018293600252,0.0,0.06130574804034697
news_short,0.92284863448806,0.9129277854677323,0.932812098876124,0.019884313408391696,14,29,0.03865295580202377,0.9320652796694214,0.037788768434358314,0.056617148045831955,0.8451030757952982,0.9814058021431904,0.0,0.14945516619993993
manifestos,0.9231647752455924,0.9176077165960164,0.9286843583189378,0.011076641722921443,5,11,0.011350674707776398,0.9240539330027117,0.017456133651533055,0.017541318611202783,0.8840076526655375,0.9585234050778606,0.0,0.10077709570989128
manifestos_multi,0.9750753137398316,0.9726398998532227,0.9779115716701045,0.005271671816881707,3,4,0.01155832337131435,0.9751877858470299,0.008844078481729958,0.01510125747293145,0.9559585986476198,0.9867073826939684,0.0,0.029482556498502354
stance,0.9306699284552562,0.9263283638335094,0.9351048987127346,0.00877653487922525,4,9,0.01407910116355382,0.9309334891467704,0.013120572302871173,0.014853498388900821,0.9030496022887832,0.9524443885287222,0.0,0.0852994701236096
stance_long,0.9557578314648356,0.9513541042550188,0.9605127681705716,0.009158663915552867,6,9,0.011544739174060625,0.9578343088901448,0.012205261335928955,0.019570604421332627,0.9321790531285812,0.9810738677650896,0.0,0.0745813858532937
mii,0.9349419273331624,0.9310389957846807,0.9388765157182338,0.007837519933553083,3,7,0.010808808698387629,0.9413118509535491,0.007592601617248527,0.011420863544819637,0.9271769045216496,0.9523125561706604,0.0,0.0613209622097569
mii_long,0.9192333451170918,0.9154692233278986,0.9233756342223544,0.007906410894455762,2,7,0.008589897507687017,0.920977769266211,0.014035908394856217,0.023817301940183833,0.883191339083751,0.9418773346028736,0.0,0.06292615328829151
synth,0.9462743952988272,0.942336458015958,0.950060810308616,0.007724352292657999,2,7,0.009755047095074354,0.9459099702481507,0.013704070416938384,0.01894510718126685,0.9235848989596436,0.9721453235736,0.0,0.06785824990907645
synth_short,0.8201120832799276,0.8103432434055698,0.8297703734839027,0.019427130078332855,7,28,0.04671635264704033,0.8221041684167932,0.02549567800117179,0.03199159779854455,0.7711253643237987,0.8660584371854007,0.1724137931034483,0.1709713872325934
